label,sample,height,del13C,del18O,lab,biozone,biozone label,reference,locality,geographic location,standard material,temperature during sample digestion ,reference,sample material,external repr. del13C,external repr. del18O,latitude,longitude
"Abadeh (Korte et al., 2004)",66,35,0.99,-6.13,Texas A&M university,H. praeparvus - H.changxingensis,G,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,NA,NA,32.5343,53.1217
"Abadeh (Korte et al., 2004)",65,21,1.88,-2.91,Insbruck,H. praeparvus - H.changxingensis,G,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",64,6,-0.57,-6.63,Insbruck,H. praeparvus - H.changxingensis,G,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",63,0,1.18,-6.9,Insbruck,C. hauschkei,F,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",62,-5,1.05,-6.56,Insbruck,C. hauschkei,F,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",61,-13,0.62,-7.31,Bochum,C. hauschkei,F,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.08,0.01,32.5343,53.1217
"Abadeh (Korte et al., 2004)",60,-33,1.23,-6.28,Insbruck,C. abadehensis,F,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",59,-45,1.35,-6.11,Insbruck,C. abadehensis,F,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",58,-54,1.72,-5.51,Insbruck,C. abadehensis,F,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
"Abadeh (Korte et al., 2004)",57,-60,1.81,-6.15,Insbruck,C. yini,E,"Korte, C., Kozur, H. W., Joachimski, M. M., Strauss, H., Veizer, J., and Schwark, L.: Carbon, sulfur, oxygen and strontium isotope records, organic geochemistry and biostratigraphy across the Permian/Triassic boundary in Abadeh, Iran, International Journal of Earth Sciences, 93, 565–581, doi:10.1007/s00531-004-0406-7, http://link.springer.com/10.1007/s00531-004-0406-7, 2004b.",Abadeh,Iran,RUB-CS,72,VPDB,bulk carbonate,0.05,0.05,32.5343,53.1217
